"date","location","category","payment_location","payment_status","payment_mode","membership_product","gross_member_count","gross_amount"
"2022-05-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-05-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","4","1400.0"
"2022-05-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-05-10","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-05-31","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2250.0"
"2022-06-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2100.0"
"2022-06-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-06-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","7","7500.0"
"2022-06-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-06-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2100.0"
"2022-06-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","1750.0"
"2022-06-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","3","3600.0"
"2022-06-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","10","3700.0"
"2022-06-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","900.0"
"2022-06-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","2500.0"
"2022-06-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","5","5400.0"
"2022-06-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-06-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2400.0"
"2022-06-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","1850.0"
"2022-06-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","3","3450.0"
"2022-06-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","3","3300.0"
"2022-06-12","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","3800.0"
"2022-06-12","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","7","7050.0"
"2022-06-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","650.0"
"2022-06-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","5","5250.0"
"2022-06-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","4","4350.0"
"2022-06-15","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","1050.0"
"2022-06-15","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1200.0"
"2022-06-16","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","10","10650.0"
"2022-06-18","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","1950.0"
"2022-06-19","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","1050.0"
"2022-06-19","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","473","523050.0"
"2022-06-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","1150.0"
"2022-06-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","603","661800.0"
"2022-06-21","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1800.0"
"2022-06-21","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","249","274950.0"
"2022-06-22","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","3100.0"
"2022-06-22","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","162","175200.0"
"2022-06-23","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1800.0"
"2022-06-23","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","275","297450.0"
"2022-06-24","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","1400.0"
"2022-06-24","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","79","87000.0"
"2022-06-25","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","700.0"
"2022-06-25","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","73","80400.0"
"2022-06-26","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","1100.0"
"2022-06-26","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","68","74100.0"
"2022-06-27","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","9","5900.0"
"2022-06-27","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","52","56100.0"
"2022-06-28","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","4750.0"
"2022-06-28","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","30","33450.0"
"2022-06-29","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","9","6400.0"
"2022-06-29","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","30","33450.0"
"2022-06-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","11","7400.0"
"2022-06-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","25","28800.0"
"2022-07-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","9","5400.0"
"2022-07-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","21","22950.0"
"2022-07-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","4350.0"
"2022-07-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","18","19800.0"
"2022-07-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","21","23400.0"
"2022-07-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","600.0"
"2022-07-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","10","10650.0"
"2022-07-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","6","3250.0"
"2022-07-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","14","15000.0"
"2022-07-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","2200.0"
"2022-07-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","25","26850.0"
"2022-07-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1900.0"
"2022-07-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","10","11250.0"
"2022-07-10","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1200.0"
"2022-07-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1050.0"
"2022-07-12","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","600.0"
"2022-07-12","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","20","21000.0"
"2022-07-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2400.0"
"2022-07-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1500.0"
"2022-07-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2250.0"
"2022-07-16","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1050.0"
"2022-07-16","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","5","5250.0"
"2022-07-17","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","700.0"
"2022-07-17","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","8","8700.0"
"2022-07-18","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-07-18","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","3","3300.0"
"2022-07-19","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1850.0"
"2022-07-19","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","4","4500.0"
"2022-07-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1050.0"
"2022-07-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1200.0"
"2022-07-21","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","750.0"
"2022-07-21","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","8","9150.0"
"2022-07-23","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","700.0"
"2022-07-23","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","4","4350.0"
"2022-07-24","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-07-24","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2400.0"
"2022-07-25","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2100.0"
"2022-07-26","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-07-26","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1050.0"
"2022-07-27","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","700.0"
"2022-07-27","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1050.0"
"2022-07-28","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1100.0"
"2022-07-28","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","3","3150.0"
"2022-07-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","750.0"
"2022-07-31","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1850.0"
"2022-07-31","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2250.0"
"2022-08-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","1700.0"
"2022-08-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","6","2150.0"
"2022-08-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","1150.0"
"2022-08-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1050.0"
"2022-08-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","900.0"
"2022-08-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1100.0"
"2022-08-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","300.0"
"2022-08-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-08-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-08-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1200.0"
"2022-08-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-08-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","700.0"
"2022-08-28","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","602","220800.0"
"2022-08-29","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","677","248850.0"
"2022-08-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","475","172150.0"
"2022-08-31","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","171","64400.0"
"2022-09-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","122","44150.0"
"2022-09-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","15","5400.0"
"2022-09-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","69","25300.0"
"2022-09-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","46","16900.0"
"2022-09-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","44","15750.0"
"2022-09-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","22","8250.0"
"2022-09-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","17","6000.0"
"2022-09-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","26","9400.0"
"2022-09-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","750.0"
"2022-09-10","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","28","9850.0"
"2022-09-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","13","4750.0"
"2022-09-12","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-09-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","6","2200.0"
"2022-09-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","8","3000.0"
"2022-09-15","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","2400.0"
"2022-09-17","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","2550.0"
"2022-09-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","800.0"
"2022-09-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","89","64900.0"
"2022-09-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","4","4650.0"
"2022-09-21","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","4","1400.0"
"2022-09-21","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","217","157100.0"
"2022-09-21","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","2","2250.0"
"2022-09-22","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","175","128700.0"
"2022-09-22","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","5","5250.0"
"2022-09-23","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-09-24","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","188","135900.0"
"2022-09-24","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1050.0"
"2022-09-25","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1000.0"
"2022-09-25","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","385","281100.0"
"2022-09-25","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1050.0"
"2022-09-26","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","4","1450.0"
"2022-09-26","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","316","231200.0"
"2022-09-26","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1050.0"
"2022-09-27","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","2600.0"
"2022-09-27","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","219","159900.0"
"2022-09-28","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","1850.0"
"2022-09-28","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","182","133800.0"
"2022-09-29","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","15","5250.0"
"2022-09-29","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","181","132800.0"
"2022-09-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-09-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","48","34500.0"
"2022-10-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","4","1450.0"
"2022-10-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","111","80900.0"
"2022-10-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","6","2000.0"
"2022-10-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","62","46200.0"
"2022-10-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","800.0"
"2022-10-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","45","33000.0"
"2022-10-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","36","25100.0"
"2022-10-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-10-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","20","14400.0"
"2022-10-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-10-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","22","16900.0"
"2022-10-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1200.0"
"2022-10-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","800.0"
"2022-10-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","13","9300.0"
"2022-10-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","10","7300.0"
"2022-10-10","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","13","9400.0"
"2022-10-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","750.0"
"2022-10-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","5","3500.0"
"2022-10-12","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","6","4400.0"
"2022-10-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","6","4600.0"
"2022-10-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","1","800.0"
"2022-10-15","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-10-15","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","6","4500.0"
"2022-10-16","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","4","2800.0"
"2022-10-17","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1050.0"
"2022-10-17","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","5","3700.0"
"2022-10-18","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","1800.0"
"2022-10-18","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","2","1400.0"
"2022-10-19","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-10-19","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","1","800.0"
"2022-10-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1100.0"
"2022-10-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","2","1500.0"
"2022-10-22","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","800.0"
"2022-10-23","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","1750.0"
"2022-10-24","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","700.0"
"2022-10-25","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","12","4450.0"
"2022-10-26","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","6","2200.0"
"2022-10-27","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","11","3900.0"
"2022-10-29","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","11","4150.0"
"2022-10-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","17","6100.0"
"2022-10-31","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","15","5200.0"
"2022-11-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","9","3200.0"
"2022-11-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","2550.0"
"2022-11-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","1050.0"
"2022-11-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-11-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","6","2100.0"
"2022-11-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","700.0"
"2022-11-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-11-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-11-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-11-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-11-17","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","400.0"
"2022-11-24","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","469","169850.0"
"2022-11-25","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","165","60750.0"
"2022-11-26","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","436","159350.0"
"2022-11-27","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","412","150250.0"
"2022-11-28","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","256","93700.0"
"2022-11-28","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","118","85700.0"
"2022-11-29","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","30","11550.0"
"2022-11-29","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","117","86000.0"
"2022-11-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","86","31700.0"
"2022-11-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","78","57900.0"
"2022-12-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","59","20750.0"
"2022-12-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","76","54900.0"
"2022-12-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","700.0"
"2022-12-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","28","19800.0"
"2022-12-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","46","17350.0"
"2022-12-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","58","42800.0"
"2022-12-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","3 MONTH","1","1200.0"
"2022-12-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","23","8500.0"
"2022-12-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","50","36400.0"
"2022-12-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","39","14100.0"
"2022-12-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","29","21600.0"
"2022-12-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","17","6300.0"
"2022-12-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","18","13000.0"
"2022-12-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","22","8100.0"
"2022-12-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","20","14600.0"
"2022-12-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","18","6550.0"
"2022-12-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","17","12000.0"
"2022-12-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","350.0"
"2022-12-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","4","2900.0"
"2022-12-10","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","11","4100.0"
"2022-12-10","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","5","3600.0"
"2022-12-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","25","9450.0"
"2022-12-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","11","8100.0"
"2022-12-12","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","23","8550.0"
"2022-12-12","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","7","5200.0"
"2022-12-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","23","8400.0"
"2022-12-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","7","5200.0"
"2022-12-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","33","12250.0"
"2022-12-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","1","700.0"
"2022-12-15","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","8","2800.0"
"2022-12-15","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","7","4900.0"
"2022-12-17","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","9","3200.0"
"2022-12-17","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","1","700.0"
"2022-12-18","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","35","12600.0"
"2022-12-19","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","46","16650.0"
"2022-12-19","AHP","DIRECT","POINT OF SALES","PAID","CASH","2 MONTH","2","1500.0"
"2022-12-20","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","44","16250.0"
